speaker,num_questions,av_num_words,objection_ratio,strike_ratio,filename
MR. CROSS,1153,22.791847354726798,0.1795316565481353,0.0,Lee_v_Hobart_-_9-9-19_-_Jones_-_FINAL.csv
MR. JARCHI,6,30.0,0.5,0.0,Lee_v_Hobart_-_9-9-19_-_Jones_-_FINAL.csv
MS. BALDWIN,317,13.296529968454259,0.14826498422712933,0.006309148264984227,LEXITAS_JOB_NO._2019-75529-BALDWIN.csv
MR. WAWRO,854,17.574941451990632,0.16159250585480095,0.0,LOOPERFinal.csv
MS. LUNCEFORD,792,11.404040404040405,0.017676767676767676,0.0,Lucatero_-_Irma_-_8-27-19_-_FINAL.csv
MR. ADELMAN,12,23.583333333333332,0.08333333333333333,0.0,"Martinez,_Manuel_200777.csv"
MR. SUN,910,10.971428571428572,0.00989010989010989,0.0,"Martinez,_Manuel_200777.csv"
MR. LOVEALL,169,13.70414201183432,0.04142011834319527,0.0,Melissa_Pomeroy_08-23-19.csv
MR. MCLAUGHLIN,6,10.666666666666666,0.16666666666666666,0.0,Melissa_Pomeroy_08-23-19.csv
MS. THEBAUD,15,17.066666666666666,0.13333333333333333,0.0,Melissa_Pomeroy_08-23-19.csv
MS. EAGER,346,10.939306358381502,0.0,0.0,Moragne_082919.csv
MR. HOOVER,1601,13.73266708307308,0.004372267332916927,0.0012492192379762648,"Morton,_David_-_Vol._1.csv"
MR. BECERRA,531,14.186440677966102,0.026365348399246705,0.007532956685499058,"Morton,_David_-_Vol._1_-_Video.csv"
MR. COSTA,89,13.696629213483146,0.06741573033707865,0.011235955056179775,"Morton,_David_-_Vol._1_-_Video.csv"
MR. HOOVER,172,20.197674418604652,0.09883720930232558,0.011627906976744186,"Morton,_David_-_Vol._1_-_Video.csv"
MR. SIMONS,94,25.51063829787234,0.3191489361702128,0.010638297872340425,"Morton,_David_-_Vol._1_-_Video.csv"
MS. ROSENBLEET,4,23.5,0.0,0.0,"Morton,_David_-_Vol._1_-_Video.csv"
MS. SHANNON,42,13.285714285714286,0.23809523809523808,0.023809523809523808,"Morton,_David_-_Vol._1_-_Video.csv"
MR. HOOVER,559,14.869409660107335,0.0035778175313059034,0.0035778175313059034,"Morton,_David_-_Vol._2.csv"
MR. LENKIEWICZ,185,17.372972972972974,0.05405405405405406,0.005405405405405406,"Morton,_David_-_Vol._2.csv"
MR. MOCCIA,186,19.806451612903224,0.06451612903225806,0.03225806451612903,"Morton,_David_-_Vol._2.csv"
MR. SIMONS,365,20.008219178082193,0.052054794520547946,0.024657534246575342,"Morton,_David_-_Vol._2.csv"
MR. WASIL,18,17.944444444444443,0.0,0.0,"Morton,_David_-_Vol._2.csv"
MS. DOUCETT,35,14.514285714285714,0.02857142857142857,0.0,"Morton,_David_-_Vol._2.csv"
MS. SHANNON,9,15.333333333333334,0.0,0.0,"Morton,_David_-_Vol._2.csv"
MR. BECERRA,20,17.3,0.15,0.0,"Morton,_David_-_Vol._3.csv"
MR. GEORGE,28,20.785714285714285,0.14285714285714285,0.0,"Morton,_David_-_Vol._3.csv"
MR. HOOVER,292,15.133561643835616,0.030821917808219176,0.00684931506849315,"Morton,_David_-_Vol._3.csv"
MR. LYONS,224,14.611607142857142,0.03571428571428571,0.004464285714285714,Nicolo_Fazzino_8-13-19.csv
